int64_field_0,player_name,teamId,gamesPlayed,points,goals,twoPointGoals,assists,powerPlayGoals,shortHandedGoals,pim,shots,twoPointShots,shotsOnGoal,twoPointShotsOnGoal,SOFF,groundBalls,faceoffs,faceoffsWon,faceoffsLost,turnovers,causedTurnovers,goalsAgainst,GAA,twoPointGoalsAgainst,twoPtGaa,saves,numPenalties,savePct,goalieWins,goalieLosses,goalieTies,gamesStarted,tof,statLeague,seasonSegment
185,Ryland Rees,CAN,1,2,0,1,0,0,0,0,1,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
221,Zach Goodrich,CAN,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
125,Jack Rowlett,CHA,6,0,0,0,0,0,0,0,1,1,0,0,1,8,4,0,4,1,9,0,0,0,0,0,1,0,0,0,0,6,0,PLL,regular
85,Jack Rowlett,CHA,2,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,2,0,PLL,post
104,John Galloway,CHR,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,14,18.66666667,3,4,13,0,0.4814814815,0,0,0,1,2160,PLL,post
178,John Galloway,CHR,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,11.87878788,10,1.212121212,92,0,0.4842105263,2,8,0,0,23760,PLL,regular
181,John Moderski,CHR,6,1,1,0,0,0,0,0,1,0,1,0,0,12,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
107,John Prendergast,CHR,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
182,John Prendergast,CHR,5,1,0,0,1,0,0,1,2,1,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
125,Greg Puskuldjian,NYL,14,7,6,0,1,0,0,3,11,0,7,0,4,94,340,188,152,7,5,0,0,0,0,0,2,0,0,0,0,0,0,MLL,regular
110,Greg Weyl,HAM,5,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
126,Greg Weyl,RAT,13,0,0,0,0,0,0,3,4,0,1,0,3,28,0,0,0,9,14,0,0,0,0,0,3,0,0,0,0,0,0,MLL,regular
111,Gunnar Schimoler,HAM,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
113,Hayden La Vangie,HAM,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
161,Joseph McCallion,WHP,6,0,0,0,0,0,0,0,2,0,0,0,2,0,11,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
62,Dominique Alexander,ARC,3,1,1,0,0,0,0,0,2,0,1,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
140,Mark McNeill,ARC,3,0,0,0,0,0,0,0,2,0,0,0,2,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
206,Tom Schreiber,ARC,1,2,0,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,PLL,post
211,Tyler Pfister,ARC,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
139,Jeremy Thompson,ATL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
144,Joel Tinney,ATL,5,1,0,0,1,0,0,0,2,0,1,0,1,11,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,PLL,regular
100,Joel Tinney,ATL,2,3,0,0,3,0,0,1,6,0,5,0,1,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,PLL,post
171,Joel Tinney,ATL,10,14,6,0,8,1,0,0,23,0,17,0,6,8,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
165,Jesse Bernhardt,BAY,14,2,1,0,1,0,0,6,6,0,5,0,1,31,0,0,0,8,19,0,0,0,0,0,6,0,0,0,0,0,0,MLL,regular
110,John Wagner,BAY,2,1,1,0,0,0,0,0,8,0,3,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
186,John Wagner,BAY,9,13,9,0,4,0,0,1,27,0,16,0,11,11,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,MLL,regular
18,Brendan Sunday,BLZ,1,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
132,Leo Stouros,BLZ,1,1,1,0,0,0,0,0,2,0,1,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
142,Jack Rowlett,CHA,10,2,0,0,2,0,0,5,3,2,2,1,1,11,7,2,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
145,Jacob Stover,CHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
128,Jake Froccaro,CHA,7,10,5,2,3,1,0,0,31,10,15,5,16,12,5,0,5,3,3,0,0,0,0,0,0,0,0,0,0,7,0,PLL,regular
88,Jake Froccaro,CHA,2,2,2,0,0,1,0,0,12,3,7,2,5,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,PLL,post
150,John Ranagan,CHR,5,6,4,0,2,0,0,0,18,2,9,0,9,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,PLL,regular
129,Henry Schoonmaker,OUT,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
114,Joseph McCallion,WHP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
192,Joseph McCallion,WHP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
